# CSV with bz2 URLs matched to Disco Distributed File System tags individually.
# From http://dumps.wikimedia.org/enwiki/20140304/
# Note: Disco tags must have character class [A-Za-z0-9_\-@:]+ else get CommError.
"bz2url","filetag"
"http://dumps.wikimedia.org/enwiki/20140304/enwiki-20140304-pages-meta-current1.xml-p000000010p000010000.bz2","current1"
"http://dumps.wikimedia.org/enwiki/20140304/enwiki-20140304-pages-meta-current2.xml-p000010001p000025000.bz2","current2"
"http://dumps.wikimedia.org/enwiki/20140304/enwiki-20140304-pages-meta-current3.xml-p000025001p000055000.bz2","current3"
"http://dumps.wikimedia.org/enwiki/20140304/enwiki-20140304-pages-meta-current4.xml-p000055002p000104998.bz2","current4"
"http://dumps.wikimedia.org/enwiki/20140304/enwiki-20140304-pages-meta-current5.xml-p000105001p000184999.bz2","current5"
"http://dumps.wikimedia.org/enwiki/20140304/enwiki-20140304-pages-meta-current6.xml-p000185003p000305000.bz2","current6"
"http://dumps.wikimedia.org/enwiki/20140304/enwiki-20140304-pages-meta-current9.xml-p000665001p000925000.bz2","current9"
"http://dumps.wikimedia.org/enwiki/20140304/enwiki-20140304-pages-meta-current8.xml-p000465001p000665000.bz2","current8"
"http://dumps.wikimedia.org/enwiki/20140304/enwiki-20140304-pages-meta-current7.xml-p000305002p000464997.bz2","current7"
"http://dumps.wikimedia.org/enwiki/20140304/enwiki-20140304-pages-meta-current10.xml-p000925001p001325000.bz2","current10"
"http://dumps.wikimedia.org/enwiki/20140304/enwiki-20140304-pages-meta-current11.xml-p001325001p001825000.bz2","current11"
"http://dumps.wikimedia.org/enwiki/20140304/enwiki-20140304-pages-meta-current12.xml-p001825001p002425000.bz2","current12"
"http://dumps.wikimedia.org/enwiki/20140304/enwiki-20140304-pages-meta-current13.xml-p002425001p003124998.bz2","current13"
"http://dumps.wikimedia.org/enwiki/20140304/enwiki-20140304-pages-meta-current14.xml-p003125001p003924999.bz2","current14"
"http://dumps.wikimedia.org/enwiki/20140304/enwiki-20140304-pages-meta-current15.xml-p003925001p004825000.bz2","current15"
"http://dumps.wikimedia.org/enwiki/20140304/enwiki-20140304-pages-meta-current16.xml-p004825002p006025000.bz2","current16"
"http://dumps.wikimedia.org/enwiki/20140304/enwiki-20140304-pages-meta-current17.xml-p006025001p007524997.bz2","current17"
"http://dumps.wikimedia.org/enwiki/20140304/enwiki-20140304-pages-meta-current18.xml-p007525002p009225000.bz2","current18"
"http://dumps.wikimedia.org/enwiki/20140304/enwiki-20140304-pages-meta-current19.xml-p009225001p011125000.bz2","current19"
"http://dumps.wikimedia.org/enwiki/20140304/enwiki-20140304-pages-meta-current20.xml-p011125001p013324998.bz2","current20"
"http://dumps.wikimedia.org/enwiki/20140304/enwiki-20140304-pages-meta-current22.xml-p015725003p018225000.bz2","current22"
"http://dumps.wikimedia.org/enwiki/20140304/enwiki-20140304-pages-meta-current21.xml-p013325001p015725000.bz2","current21"
"http://dumps.wikimedia.org/enwiki/20140304/enwiki-20140304-pages-meta-current23.xml-p018225001p020925000.bz2","current23"
"http://dumps.wikimedia.org/enwiki/20140304/enwiki-20140304-pages-meta-current24.xml-p020925002p023725000.bz2","current24"
"http://dumps.wikimedia.org/enwiki/20140304/enwiki-20140304-pages-meta-current26.xml-p026625002p029625000.bz2","current26"
"http://dumps.wikimedia.org/enwiki/20140304/enwiki-20140304-pages-meta-current25.xml-p023725001p026624999.bz2","current25"
"http://dumps.wikimedia.org/enwiki/20140304/enwiki-20140304-pages-meta-current27.xml-p029625001p042118797.bz2","current27"
"http://dumps.wikimedia.org/enwiki/20140304/enwiki-20140304-pages-meta-history1.xml-p000008313p000010000.bz2","history1-0"
"http://dumps.wikimedia.org/enwiki/20140304/enwiki-20140304-pages-meta-history1.xml-p000005490p000008311.bz2","history1-1"
"http://dumps.wikimedia.org/enwiki/20140304/enwiki-20140304-pages-meta-history1.xml-p000003357p000005489.bz2","history1-2"
"http://dumps.wikimedia.org/enwiki/20140304/enwiki-20140304-pages-meta-history2.xml-p000010001p000012804.bz2","history2-0"
"http://dumps.wikimedia.org/enwiki/20140304/enwiki-20140304-pages-meta-history1.xml-p000000010p000003356.bz2","history1-3"
"http://dumps.wikimedia.org/enwiki/20140304/enwiki-20140304-pages-meta-history2.xml-p000012806p000015046.bz2","history2-1"
"http://dumps.wikimedia.org/enwiki/20140304/enwiki-20140304-pages-meta-history2.xml-p000015047p000016307.bz2","history2-2"
"http://dumps.wikimedia.org/enwiki/20140304/enwiki-20140304-pages-meta-history2.xml-p000016308p000018080.bz2","history2-3"
"http://dumps.wikimedia.org/enwiki/20140304/enwiki-20140304-pages-meta-history2.xml-p000018081p000019635.bz2","history2-4"
"http://dumps.wikimedia.org/enwiki/20140304/enwiki-20140304-pages-meta-history2.xml-p000019636p000021362.bz2","history2-5"
"http://dumps.wikimedia.org/enwiki/20140304/enwiki-20140304-pages-meta-history2.xml-p000021363p000023221.bz2","history2-6"
"http://dumps.wikimedia.org/enwiki/20140304/enwiki-20140304-pages-meta-history2.xml-p000023222p000025000.bz2","history2-7"
"http://dumps.wikimedia.org/enwiki/20140304/enwiki-20140304-pages-meta-history3.xml-p000025001p000027150.bz2","history3-0"
"http://dumps.wikimedia.org/enwiki/20140304/enwiki-20140304-pages-meta-history3.xml-p000027152p000030058.bz2","history3-1"
"http://dumps.wikimedia.org/enwiki/20140304/enwiki-20140304-pages-meta-history3.xml-p000030059p000032587.bz2","history3-2"
"http://dumps.wikimedia.org/enwiki/20140304/enwiki-20140304-pages-meta-history3.xml-p000032589p000036647.bz2","history3-3"
