# CSV with bz2 URLs matched to Disco Distributed File System tags as a data set.
# From http://dumps.wikimedia.org/enwiki/20140304/
# Total uncompressed size: 10.35 GB
"bz2url","settag"
"http://dumps.wikimedia.org/enwiki-20140304-pages-meta-current1.xml-p000000010p000010000.bz2","10G"
"http://dumps.wikimedia.org/enwiki-20140304-pages-meta-current2.xml-p000010001p000025000.bz2","10G"
"http://dumps.wikimedia.org/enwiki-20140304-pages-meta-current3.xml-p000025001p000055000.bz2","10G"
"http://dumps.wikimedia.org/enwiki-20140304-pages-meta-current4.xml-p000055002p000104998.bz2","10G"
"http://dumps.wikimedia.org/enwiki-20140304-pages-meta-current5.xml-p000105001p000184999.bz2","10G"
"http://dumps.wikimedia.org/enwiki-20140304-pages-meta-current6.xml-p000185003p000305000.bz2","10G"
"http://dumps.wikimedia.org/enwiki-20140304-pages-meta-current9.xml-p000665001p000925000.bz2","10G"
"http://dumps.wikimedia.org/enwiki-20140304-pages-meta-current8.xml-p000465001p000665000.bz2","10G"
"http://dumps.wikimedia.org/enwiki-20140304-pages-meta-current7.xml-p000305002p000464997.bz2","10G"
"http://dumps.wikimedia.org/enwiki-20140304-pages-meta-current10.xml-p000925001p001325000.bz2","10G"
"http://dumps.wikimedia.org/enwiki-20140304-pages-meta-current11.xml-p001325001p001825000.bz2","10G"
"http://dumps.wikimedia.org/enwiki-20140304-pages-meta-current12.xml-p001825001p002425000.bz2","10G"
